Time [s]	Amp[A]
7.943060  0.63
7.943561  0.64
7.944061  0.70
7.944563  0.61
7.945063  0.78
7.945564  0.70
7.946066  0.67
7.946567  0.67
7.947067  0.64
7.947568  0.57
7.948070  0.69
7.948571  0.50
7.949073  0.61
7.949574  0.63
7.950076  0.69
7.950577  0.57
7.951078  0.67
7.951578  0.67
7.952080  0.53
7.952581  0.63
7.953082  0.66
7.953584  0.54
7.954084  0.56
7.954585  0.61
7.955086  0.56
7.955588  0.67
7.956089  0.64
7.956591  0.54
7.957091  0.61
7.957592  0.63
7.958093  0.56
7.958595  0.57
7.959095  0.72
7.959596  0.56
7.960097  0.76
7.960599  0.57
7.961100  0.57
7.961602  0.63
7.962102  0.69
7.962604  0.63
7.963104  0.67
7.963606  0.66
7.964106  0.59
7.964608  0.59
7.965109  0.70
7.965611  0.61
7.966111  0.56
7.966612  0.61
7.967113  0.75
7.967615  0.56
7.968117  0.61
7.968617  0.67
7.969119  0.63
7.969620  0.64
7.970120  0.64
7.970621  0.70
7.971123  0.54
7.971623  0.67
7.972124  0.56
7.972625  0.53
7.973127  0.63
7.973628  0.54
7.974130  0.39
7.974630  0.54
7.975131  0.64
7.975632  0.72
7.976133  0.73
7.976634  0.53
7.977135  0.61
7.977636  0.66
7.978137  0.57
7.978638  0.69
7.979139  0.76
7.979640  0.53
7.980141  0.69
7.980643  0.57
7.981144  0.67
7.981644  0.56
7.982145  0.53
7.982646  0.61
7.983148  0.56
7.983648  0.66
7.984149  0.57
7.984650  0.69
7.985151  0.70
7.985652  0.69
7.986153  0.56
7.986654  0.54
7.987156  0.53
7.987657  0.66
7.988158  0.57
7.988659  0.63
7.989160  0.59
7.989661  0.69
7.990163  0.69
7.990664  0.64
7.991166  0.64
7.991666  0.57
7.992167  0.64
7.992669  0.57
7.993169  0.66
7.993670  0.67
7.994171  0.61
7.994673  0.54
7.995173  0.66
7.995675  0.70
7.996175  0.64
7.996676  0.67
7.997178  0.73
7.997678  0.61
7.998179  0.56
7.998681  0.57
7.999182  0.67
7.999683  0.64
8.000184  0.61
8.000685  0.70
8.001186  0.73
8.001687  0.66
8.002188  0.66
8.002689  0.59
8.003191  0.64
8.003691  0.54
8.004192  0.61
8.004693  0.66
8.005194  0.56
8.005696  0.75
8.006197  0.73
8.006697  0.67
8.007198  0.72
8.007699  0.63
8.008200  0.63
8.008701  0.51
8.009202  0.78
8.009703  0.67
8.010204  0.59
8.010706  0.53
8.011207  0.69
8.011708  0.69
8.012209  0.57
8.012710  0.73
8.013211  0.57
8.013713  0.57
8.014213  0.66
8.014715  0.51
8.015215  0.57
8.015716  0.67
8.016218  0.67
8.016719  0.57
8.017221  0.64
8.017723  0.63
8.018224  0.59
8.018724  0.64
8.019225  0.64
8.019726  0.73
8.020228  0.59
8.020730  0.70
8.021232  0.54
8.021732  0.61
8.022234  0.47
8.022734  0.63
8.023236  0.72
8.023736  0.72
8.024237  0.57
8.024738  0.64
8.025239  0.54
8.025740  0.48
8.026241  0.54
8.026742  0.70
8.027243  0.57
8.027745  0.53
8.028245  0.59
8.028747  0.63
8.029247  0.59
8.029748  0.64
8.030250  0.57
8.030750  0.66
8.031252  0.61
8.031753  0.59
8.032253  0.61
8.032754  0.56
8.033255  0.80
8.033756  0.70
8.034257  0.50
8.034758  0.64
8.035259  0.66
8.035760  0.70
8.036261  0.59
8.036762  0.50
8.037264  0.66
8.037764  0.57
8.038265  0.81
8.038767  0.59
8.039269  0.61
8.039771  0.59
8.040271  0.59
8.040772  0.70
8.041273  0.66
8.041774  0.67
8.042276  0.67
8.042776  0.66
8.043277  0.59
8.043778  0.56
8.044279  0.59
8.044780  0.59
8.045282  0.66
8.045782  0.51
8.046284  0.63
8.046785  0.63
8.047286  0.72
8.047788  0.61
8.048288  0.75
8.048790  0.73
8.049290  0.63
8.049792  0.67
8.050292  0.70
8.050794  0.61
8.051294  0.53
8.051795  0.56
8.052297  0.69
8.052797  0.57
8.053298  0.70
8.053799  0.76
8.054301  0.80
8.054801  0.69
8.055302  0.69
8.055803  0.70
8.056304  0.64
8.056805  0.63
8.057306  0.61
8.057808  0.57
8.058309  0.63
8.058809  0.67
8.059311  0.70
8.059811  0.63
8.060313  0.51
8.060813  0.69
8.061314  0.61
8.061815  0.63
8.062316  0.63
8.062817  0.56
8.063318  0.67
8.063819  0.67
8.064321  0.67
8.064821  0.64
8.065322  0.48
8.065823  0.61
8.066324  0.61
8.066825  0.73
8.067326  0.64
